| epoch   1 | 157000/237767 batches | lr 9.845274e-05 | ms/batch 124.40 | loss  4.09 
| epoch   1 | 158000/237767 batches | lr 9.844222e-05 | ms/batch 123.00 | loss  4.09 
| epoch   1 | 159000/237767 batches | lr 9.843169e-05 | ms/batch 121.53 | loss  4.09 
| epoch   1 | 160000/237767 batches | lr 9.842117e-05 | ms/batch 122.30 | loss  4.09 
| epoch   1 | 161000/237767 batches | lr 9.841064e-05 | ms/batch 123.16 | loss  4.09 
| epoch   1 | 162000/237767 batches | lr 9.840011e-05 | ms/batch 120.80 | loss  4.08 
| epoch   1 | 163000/237767 batches | lr 9.838959e-05 | ms/batch 121.46 | loss  4.08 
| epoch   1 | 164000/237767 batches | lr 9.837906e-05 | ms/batch 120.93 | loss  4.07 
| epoch   1 | 165000/237767 batches | lr 9.836854e-05 | ms/batch 121.37 | loss  4.08 
| epoch   1 | 166000/237767 batches | lr 9.835801e-05 | ms/batch 121.18 | loss  4.07 
| epoch   1 | 167000/237767 batches | lr 9.834749e-05 | ms/batch 121.02 | loss  4.06 
| epoch   1 | 168000/237767 batches | lr 9.833696e-05 | ms/batch 121.36 | loss  4.07 
| epoch   1 | 169000/237767 batches | lr 9.832644e-05 | ms/batch 120.98 | loss  4.06 
| epoch   1 | 170000/237767 batches | lr 9.831591e-05 | ms/batch 121.14 | loss  4.06 
| epoch   1 | 171000/237767 batches | lr 9.830538e-05 | ms/batch 120.84 | loss  4.05 
| epoch   1 | 172000/237767 batches | lr 9.829486e-05 | ms/batch 121.16 | loss  4.05 
| epoch   1 | 173000/237767 batches | lr 9.828433e-05 | ms/batch 120.98 | loss  4.05 
| epoch   1 | 174000/237767 batches | lr 9.827381e-05 | ms/batch 121.35 | loss  4.05 
| epoch   1 | 175000/237767 batches | lr 9.826328e-05 | ms/batch 120.74 | loss  4.04 
| epoch   1 | 176000/237767 batches | lr 9.825276e-05 | ms/batch 121.35 | loss  4.04 
| epoch   1 | 177000/237767 batches | lr 9.824223e-05 | ms/batch 120.70 | loss  4.04 
| epoch   1 | 178000/237767 batches | lr 9.823171e-05 | ms/batch 121.37 | loss  4.03 
| epoch   1 | 179000/237767 batches | lr 9.822118e-05 | ms/batch 120.79 | loss  4.04 
| epoch   1 | 180000/237767 batches | lr 9.821065e-05 | ms/batch 121.23 | loss  4.04 
| epoch   1 | 181000/237767 batches | lr 9.820013e-05 | ms/batch 121.03 | loss  4.03 
| epoch   1 | 182000/237767 batches | lr 9.818960e-05 | ms/batch 121.09 | loss  4.02 
| epoch   1 | 183000/237767 batches | lr 9.817908e-05 | ms/batch 121.05 | loss  4.03 
| epoch   1 | 184000/237767 batches | lr 9.816855e-05 | ms/batch 120.84 | loss  4.03 
| epoch   1 | 185000/237767 batches | lr 9.815803e-05 | ms/batch 121.25 | loss  4.02 
| epoch   1 | 186000/237767 batches | lr 9.814750e-05 | ms/batch 120.71 | loss  4.03 
| epoch   1 | 187000/237767 batches | lr 9.813698e-05 | ms/batch 121.15 | loss  4.02 
| epoch   1 | 188000/237767 batches | lr 9.812645e-05 | ms/batch 121.01 | loss  4.01 
| epoch   1 | 189000/237767 batches | lr 9.811592e-05 | ms/batch 121.36 | loss  4.02 
| epoch   1 | 190000/237767 batches | lr 9.810540e-05 | ms/batch 120.75 | loss  4.00 
| epoch   1 | 191000/237767 batches | lr 9.809487e-05 | ms/batch 121.41 | loss  4.00 
| epoch   1 | 192000/237767 batches | lr 9.808435e-05 | ms/batch 120.75 | loss  4.00 
| epoch   1 | 193000/237767 batches | lr 9.807382e-05 | ms/batch 121.39 | loss  4.00 
| epoch   1 | 194000/237767 batches | lr 9.806330e-05 | ms/batch 120.72 | loss  4.00 
| epoch   1 | 195000/237767 batches | lr 9.805277e-05 | ms/batch 121.33 | loss  3.99 
| epoch   1 | 196000/237767 batches | lr 9.804225e-05 | ms/batch 120.88 | loss  4.00 
| epoch   1 | 197000/237767 batches | lr 9.803172e-05 | ms/batch 121.05 | loss  3.99 
| epoch   1 | 198000/237767 batches | lr 9.802119e-05 | ms/batch 121.15 | loss  3.99 
| epoch   1 | 199000/237767 batches | lr 9.801067e-05 | ms/batch 121.06 | loss  4.00 
| epoch   1 | 200000/237767 batches | lr 9.800014e-05 | ms/batch 121.18 | loss  3.99 
| epoch   1 | 201000/237767 batches | lr 9.798962e-05 | ms/batch 120.81 | loss  3.98 
| epoch   1 | 202000/237767 batches | lr 9.797909e-05 | ms/batch 121.24 | loss  3.98 
| epoch   1 | 203000/237767 batches | lr 9.796857e-05 | ms/batch 121.11 | loss  3.98 
| epoch   1 | 204000/237767 batches | lr 9.795804e-05 | ms/batch 121.61 | loss  3.98 
| epoch   1 | 205000/237767 batches | lr 9.794752e-05 | ms/batch 120.95 | loss  3.96 
| epoch   1 | 206000/237767 batches | lr 9.793699e-05 | ms/batch 121.48 | loss  3.98 
| epoch   1 | 207000/237767 batches | lr 9.792646e-05 | ms/batch 120.94 | loss  3.97 
| epoch   1 | 208000/237767 batches | lr 9.791594e-05 | ms/batch 121.58 | loss  3.96 
| epoch   1 | 209000/237767 batches | lr 9.790541e-05 | ms/batch 121.03 | loss  3.97 
| epoch   1 | 210000/237767 batches | lr 9.789489e-05 | ms/batch 121.60 | loss  3.96 
| epoch   1 | 211000/237767 batches | lr 9.788436e-05 | ms/batch 120.98 | loss  3.96 
| epoch   1 | 212000/237767 batches | lr 9.787384e-05 | ms/batch 121.39 | loss  3.95 
| epoch   1 | 213000/237767 batches | lr 9.786331e-05 | ms/batch 121.22 | loss  3.96 
| epoch   1 | 214000/237767 batches | lr 9.785279e-05 | ms/batch 121.08 | loss  3.96 
| epoch   1 | 215000/237767 batches | lr 9.784226e-05 | ms/batch 121.40 | loss  3.96 
| epoch   1 | 216000/237767 batches | lr 9.783173e-05 | ms/batch 121.09 | loss  3.95 
| epoch   1 | 217000/237767 batches | lr 9.782121e-05 | ms/batch 121.31 | loss  3.95 
| epoch   1 | 218000/237767 batches | lr 9.781068e-05 | ms/batch 121.13 | loss  3.94 
| epoch   1 | 219000/237767 batches | lr 9.780016e-05 | ms/batch 121.47 | loss  3.95 
| epoch   1 | 220000/237767 batches | lr 9.778963e-05 | ms/batch 121.07 | loss  3.95 
| epoch   1 | 221000/237767 batches | lr 9.777911e-05 | ms/batch 121.75 | loss  3.93 
| epoch   1 | 222000/237767 batches | lr 9.776858e-05 | ms/batch 121.04 | loss  3.93 
| epoch   1 | 223000/237767 batches | lr 9.775806e-05 | ms/batch 121.60 | loss  3.95 
| epoch   1 | 224000/237767 batches | lr 9.774753e-05 | ms/batch 120.94 | loss  3.93 
| epoch   1 | 225000/237767 batches | lr 9.773700e-05 | ms/batch 121.79 | loss  3.94 
| epoch   1 | 226000/237767 batches | lr 9.772648e-05 | ms/batch 120.87 | loss  3.94 
| epoch   1 | 227000/237767 batches | lr 9.771595e-05 | ms/batch 121.21 | loss  3.92 
