| epoch   1 | 194000/297209 batches | lr 9.378817e-05 | ms/batch 120.17 | loss  3.99 
| epoch   1 | 195000/297209 batches | lr 9.375441e-05 | ms/batch 119.89 | loss  3.99 
| epoch   1 | 196000/297209 batches | lr 9.372065e-05 | ms/batch 120.03 | loss  3.99 
| epoch   1 | 197000/297209 batches | lr 9.368689e-05 | ms/batch 120.07 | loss  3.98 
| epoch   1 | 198000/297209 batches | lr 9.365313e-05 | ms/batch 119.91 | loss  3.99 
| epoch   1 | 199000/297209 batches | lr 9.361937e-05 | ms/batch 120.13 | loss  3.98 
| epoch   1 | 200000/297209 batches | lr 9.358561e-05 | ms/batch 119.82 | loss  3.98 
| epoch   1 | 201000/297209 batches | lr 9.355185e-05 | ms/batch 120.04 | loss  3.98 
| epoch   1 | 202000/297209 batches | lr 9.351809e-05 | ms/batch 119.96 | loss  3.97 
| epoch   1 | 203000/297209 batches | lr 9.348433e-05 | ms/batch 119.98 | loss  3.97 
| epoch   1 | 204000/297209 batches | lr 9.345057e-05 | ms/batch 120.07 | loss  3.97 
| epoch   1 | 205000/297209 batches | lr 9.341681e-05 | ms/batch 119.95 | loss  3.98 
| epoch   1 | 206000/297209 batches | lr 9.338305e-05 | ms/batch 123.16 | loss  3.96 
| epoch   1 | 207000/297209 batches | lr 9.334929e-05 | ms/batch 127.15 | loss  3.96 
| epoch   1 | 208000/297209 batches | lr 9.331553e-05 | ms/batch 127.29 | loss  3.96 
| epoch   1 | 209000/297209 batches | lr 9.328177e-05 | ms/batch 127.29 | loss  3.95 
| epoch   1 | 210000/297209 batches | lr 9.324801e-05 | ms/batch 127.27 | loss  3.96 
| epoch   1 | 211000/297209 batches | lr 9.321425e-05 | ms/batch 127.45 | loss  3.95 
| epoch   1 | 212000/297209 batches | lr 9.318049e-05 | ms/batch 127.30 | loss  3.96 
| epoch   1 | 213000/297209 batches | lr 9.314673e-05 | ms/batch 127.43 | loss  3.95 
| epoch   1 | 214000/297209 batches | lr 9.311297e-05 | ms/batch 127.23 | loss  3.95 
| epoch   1 | 215000/297209 batches | lr 9.307921e-05 | ms/batch 127.26 | loss  3.94 
| epoch   1 | 216000/297209 batches | lr 9.304545e-05 | ms/batch 127.39 | loss  3.95 
| epoch   1 | 217000/297209 batches | lr 9.301169e-05 | ms/batch 121.35 | loss  3.95 
| epoch   1 | 218000/297209 batches | lr 9.297793e-05 | ms/batch 127.20 | loss  3.94 
| epoch   1 | 219000/297209 batches | lr 9.294417e-05 | ms/batch 127.28 | loss  3.93 
